Kommun	Kommunnummer	År
STOCKHOLM STAD HHKNR	0180	2015
STOCKHOLMS LÄNS SJUKVÅRDSOMR	Landsting	2015
STOCKHOLMS SJUKHEM *HKNR*	Landsting	2015
STOCKHOLMS STAD FÖRSKOLOR	0180	2015
STOCKHOLMS STAD ÄLDREOMSORG	0180	2015
STOCKHOLMS STAD ÖVRIGA	0180	2015
STOCKHOLMS ÄLDREBOENDE AB	0180	2015
STORFORS KOMMUN.	1760	2015
STORKÖK PRIVAT RIKS BIR	privat	2015
STORKÖK PRIVAT RIKS PAR	privat	2015
STRÄNGNÄS KOMMUN	0486	2015
STRÖMSTADS KOMMUN	1486	2015
SUNDBYBERGS STAD	0183	2015
SUNDSTABADET *HKNR*	övrigt	2015
SUNDSVALL TIMRÅ ÅNGE SMÅKÖK	2281&2262&2260	2015
SUNDSVALL TIMRÅ ÅNGE STORA KÖK	2281&2262&2260	2015
SUNNE KOMMUN	1766	2015
SURAHAMMARS KOMMUN	1907	2015
SVALÖVS KOMMUN	1214	2015
SVEDALA KOMMUN	1263	2015
SVENLJUNGA KOMMUN	1465	2015
SÄTERS KOMMUN	2082	2015
SÖDERKÖPINGS KOMMUN	0582	2015
SÖDERMALM SDF	0180	2015
SÖDERSJUKHUSET *HKNR*	Landsting	2015
SÖLVESBORGS KOMMUN	1083	2015
TELLUSBARN SVERIGE AB	privat	2015
TIERPS KOMMUN	0360	2015
TIOHUNDRA AB *HKNR*	Landsting	2015
TORSBY KOMMUN	1737	2015
TRANEMO KOMMUN	1452	2015
TROLLHÄTTAN VÄNERSBORG MFL	1488	2015
TROLLHÄTTANS KOMMUN	1488	2015
TYRESÖ KOMMUN	0138	2015
TÄBY KOMMUN	0160	2015
UDDEVALLA KOMMUN	1485	2015
UDDEVALLA KOMMUN KIOSK	1485	2015
ULRICEHAMN KOMMUN	1491	2015
UNGA ÖRNAS I STOCKHOLMS LÄN	privat	2015
UPPSALA KOMMUN ÖVRIGA	0380	2015
UPPSALA MÅLTIDSSERVICE	0380	2015
UPPVIDINGE KOMMUN *HKNR*	0760	2015
UTBILDNINGSFÖRVALTNINGEN	0180	2015
UTVECKLINGSPEDAGOGIK *HKNR*	privat	2015
VALDESMARSVIK KOMMUN	0563	2015
VALLENTUNA KOMMUN	0115	2015
VAXHOLMS STAD	0187	2015
VETLANDA SMÅKÖK	0685	2015
VETLANDA STORA KÖK KÖTT CHARK	0685	2015
VÅRLJUS AB *HKNR*	privat	2015
VÄNERSBORGS KOMMUN	1487	2015
VÄSTERBERGSLAGENS UTB.CENTRUM	privat	2015
VÄSTRA GÖTALANDSREGIONEN	Landsting	2015
VÄXJÖ KOMMUN MFL PRICAT	0780	2015
ÅTVIDABERGS KOMMUN	0561	2015
ÄLVDALENS KOMMUN	2039	2015
ÄLVSJÖ SDF	0180	2015
ÖSTERMALM SDF	0180	2015
ÖSTERÅKERS KOMMUN	0117	2015
ÖSTHAMMARS KOMMUN	0382	2015
